ic calculation: SQRT
pos	Ic
215.90	7.670e-01
216.30	7.431e-01
216.70	6.279e-01
217.00	5.339e-01
217.40	9.918e-01
217.80	6.685e-01
218.10	6.560e-01
218.50	6.215e-01
218.80	1.048e+00
219.20	6.570e-01
219.60	7.923e-01
219.90	8.729e-01
220.30	8.381e-01
220.70	7.052e-01
221.10	5.046e-01
221.40	6.904e-01
221.80	8.930e-01
222.10	6.654e-01
222.50	6.173e-01
222.90	6.518e-01
223.20	5.970e-01
223.60	6.956e-01
224.00	8.294e-01
224.40	7.296e-01
224.70	6.559e-01
225.10	6.827e-01
225.50	7.254e-01
225.90	1.026e+00
226.20	8.450e-01
226.60	7.620e-01
227.00	6.580e-01
227.40	1.031e+00
227.70	6.704e-01
228.10	8.603e-01
228.50	6.820e-01
228.90	8.835e-01
229.20	7.509e-01
229.60	7.407e-01
230.00	1.010e+00
230.40	6.057e-01
230.80	5.752e-01
231.10	5.517e-01
231.50	9.082e-01
231.90	5.302e-01
232.30	6.628e-01
232.70	5.160e-01
233.10	8.188e-01
233.40	5.146e-01
233.80	9.264e-01
234.20	9.390e-01
234.60	6.398e-01
235.00	1.064e+00
235.40	5.277e-01
235.80	1.058e+00
236.10	9.196e-01
236.50	8.347e-01
236.90	6.579e-01
237.30	7.505e-01
237.70	6.913e-01
238.10	8.876e-01
238.50	7.955e-01
238.90	6.731e-01
239.30	9.646e-01
239.70	6.656e-01
240.10	7.391e-01
240.50	6.929e-01
240.80	5.773e-01
241.20	7.475e-01
241.60	8.264e-01
242.00	8.558e-01
242.40	7.529e-01
242.80	8.263e-01
243.20	9.473e-01
243.60	6.866e-01
244.00	6.981e-01
244.40	5.257e-01
244.80	7.205e-01
245.20	6.489e-01
245.60	7.078e-01
246.00	5.769e-01
246.40	5.992e-01
246.80	6.730e-01
247.20	7.984e-01
247.60	8.869e-01
248.00	7.125e-01
248.40	4.718e-01
248.80	7.756e-01
249.10	8.899e-01
249.50	6.044e-01
249.90	7.928e-01
250.30	7.161e-01
250.70	9.222e-01
251.10	8.774e-01
251.50	7.708e-01
251.90	8.158e-01
252.30	4.701e-01
252.70	8.531e-01
253.10	6.555e-01
253.50	5.366e-01
253.90	1.058e+00
254.30	8.821e-01
254.70	8.457e-01
255.10	8.865e-01
255.50	6.699e-01
255.90	5.905e-01
256.30	7.487e-01
256.70	7.589e-01
257.10	7.642e-01
257.50	8.395e-01
257.90	8.363e-01
258.30	7.231e-01
258.70	5.715e-01
259.10	7.034e-01
259.50	8.823e-01
259.90	6.024e-01
260.30	7.919e-01
260.70	5.824e-01
261.20	6.948e-01
261.60	4.878e-01
262.00	8.367e-01
262.40	5.689e-01
262.80	5.875e-01
263.20	5.972e-01
263.60	6.244e-01
264.00	6.678e-01
264.40	5.692e-01
264.80	7.039e-01
265.20	8.727e-01
265.70	7.160e-01
266.10	5.301e-01
266.50	6.844e-01
266.90	5.508e-01
267.30	6.409e-01
267.70	8.680e-01
268.10	6.490e-01
268.50	6.893e-01
268.90	7.972e-01
269.40	6.954e-01
269.80	7.756e-01
270.20	9.724e-01
270.60	5.591e-01
271.00	8.660e-01
271.40	1.080e+00
271.80	8.021e-01
272.30	8.876e-01
272.70	6.259e-01
273.10	5.036e-01
273.50	9.664e-01
273.90	7.163e-01
274.30	1.172e+00
274.70	7.299e-01
275.20	7.776e-01
275.60	5.436e-01
276.00	8.505e-01
276.40	7.300e-01
276.80	6.516e-01
277.30	7.370e-01
277.70	9.140e-01
278.10	7.892e-01
278.50	6.663e-01
278.90	6.657e-01
279.30	8.042e-01
279.80	8.687e-01
280.20	9.135e-01
280.60	5.066e-01
281.00	7.670e-01
281.40	6.352e-01
281.90	8.624e-01
282.30	9.239e-01
282.70	6.023e-01
283.10	6.858e-01
283.50	1.094e+00
284.00	7.218e-01
284.40	8.246e-01
284.80	6.251e-01
285.20	3.953e-01
285.70	8.010e-01
286.10	1.093e+00
286.50	7.602e-01
287.00	7.774e-01
287.40	9.263e-01
287.80	6.485e-01
288.20	6.712e-01
288.70	6.269e-01
289.10	6.777e-01
289.50	9.101e-01
290.00	9.401e-01
290.40	6.374e-01
290.80	5.102e-01
291.20	6.418e-01
291.70	5.131e-01
292.10	9.158e-01
292.50	7.355e-01
293.00	9.654e-01
293.40	5.839e-01
293.80	7.691e-01
294.30	6.213e-01
294.70	6.142e-01
295.20	6.476e-01
295.60	8.775e-01
296.00	6.338e-01
296.50	7.652e-01
296.90	7.426e-01
297.30	6.062e-01
297.80	7.423e-01
298.20	8.560e-01
298.70	8.084e-01
299.10	7.335e-01
299.50	7.283e-01
300.00	6.775e-01
300.40	7.574e-01
300.80	6.551e-01
301.30	6.086e-01
301.70	5.009e-01
302.20	7.367e-01
302.60	8.301e-01
303.00	5.884e-01
303.50	7.619e-01
303.90	6.547e-01
304.30	6.868e-01
304.80	6.000e-01
305.20	5.613e-01
305.70	1.043e+00
306.10	6.473e-01
306.60	7.249e-01
